기준_년_코드,기준_분기_코드,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
56588,70,3232131340.0,303582,2029,773,355,399,451,445,389,487,286,31,466,464,780,943,124,1086,1719,2,243,541,481,672,867,2324855534.0,907275806.0,98127782,450860850.0,555010683.0,711314122.0,1100251342.0,316566561,1596830047.0,1561970538.0,7126112,453171346,604231538.0,657998875.0,720911437.0,715361276.0,221806,81776,44161,42704,43640,43664,47637,48998,32778,15249,51345,49246,53017,94163,40562,174286,123559,1485,71904,60762,56934,55322,51441
42441,54,3688485419.0,577957,1925,176,299,348,305,470,507,132,42,15,446,628,594,359,62,1047,1054,4,153,296,447,689,515,3085329856.0,603155563.0,111494044,933160906.0,823645882.0,774905419.0,712929166.0,332350002,2208385177.0,1039983241.0,16724648,432992863,852749137.0,888421080.0,735876839.0,321603860.0,489766,88191,95073,98376,97355,100572,98390,46320,41871,13380,177381,125646,122721,99858,38971,370173,156843,4893,98879,165820,141208,86306,29907
99029,128,51610591903.0,5243969,4146,762,782,944,759,863,805,456,306,31,481,1620,1396,1293,87,2378,2528,31,745,1324,1612,980,223,45373396200.0,6237195703.0,1496769107,8305413219.0,14986125098.0,13092929497.0,10852312974.0,2877042008,24398806312.0,15813160958.0,346565611,7769948312,11762296582.0,11943437872.0,6528069969.0,1861648913.0,4620737,623232,934106,945165,911221,942424,887821,347299,275933,196266,1175349,1378638,1095367,1047162,351187,3049810,1793196,72776,1236935,1511261,1261777,590212,170064
74777,91,6712875245.0,514643,2833,871,621,459,760,518,482,543,329,43,314,843,1535,828,140,2022,1681,9,404,379,634,931,1355,4792868315.0,1920006930.0,204480175,673141310.0,1851398564.0,1317357600.0,1974957649.0,691539947,3531281840.0,3012504138.0,30567204,717701507,1171703231.0,1559681105.0,1628793541.0,1435339393.0,359028,155615,72526,69415,69178,70757,77152,78744,76871,13674,73175,94031,88897,166634,78232,328143,180473,3856,89281,104367,133389,101806,75916
52546,65,10338579336.0,1230103,2123,480,483,500,376,417,352,282,200,66,220,548,476,999,294,1427,1176,4,637,868,393,530,172,7690298290.0,2648281046.0,705097268,866201156.0,1367760302.0,1449044129.0,3858740031.0,2091736450,6187426226.0,4060752450.0,27206474,3229336792,3674438560.0,1758167478.0,1218137860.0,340891515.0,921303,308800,180669,181969,183532,181087,194046,169244,139556,89380,142459,157016,151446,432987,256815,766652,458750,4451,443635,452731,189255,100352,34976
80840,102,20526052189.0,1330003,2838,1174,599,415,575,601,653,647,523,70,315,984,1140,1289,214,1592,2415,4,585,706,1014,777,920,14237273037.0,6288779152.0,547145056,2089802073.0,4007037333.0,5177961592.0,6852461957.0,1851644178,8977121033.0,11431641773.0,42292919,2289413698,3575782955.0,5531485276.0,4963246037.0,4006541924.0,924814,405189,187201,176857,185351,179926,195479,202672,202517,66218,145554,218638,273393,450355,175845,645767,681428,7004,222117,288927,340539,280903,187708
52546,63,25076501202.0,700520,2260,344,380,433,422,647,385,229,114,31,554,984,466,462,107,1328,1274,3,243,499,610,634,620,23333068697.0,1743432505.0,261272713,13477594370.0,8473639267.0,1140186900.0,1105099770.0,618708182,12494444209.0,11722312366.0,17573717,1379173566,5964471992.0,3745728982.0,8637574067.0,4472234255.0,587033,113487,117873,125340,107772,118852,117196,63552,49935,27598,157697,231634,94343,118786,70462,455641,224330,4064,113361,188823,172066,128191,73462
8084,10,3272105066.0,471371,298,103,55,59,59,60,66,57,48,50,78,44,49,97,83,241,159,6,88,80,107,88,34,2431308249.0,840796817.0,411182574,635461175.0,356868745.0,397837663.0,790923067.0,679831842,1951740179.0,1291239936.0,43447152,708648051,647591219.0,864441928.0,712415901.0,266435861.0,356488,114883,67583,70734,72451,70122,75598,60767,54116,47698,106957,58512,58839,111306,88059,277417,192566,12431,121583,97440,104003,98772,35755
52546,66,5206315332.0,422724,2048,552,314,506,396,410,427,336,218,56,198,637,814,725,176,1103,1500,9,150,294,505,657,991,3686734078.0,1519581254.0,136376163,534387958.0,1034385904.0,1129589286.0,1693205132.0,678370889,2606293675.0,2542459188.0,25827232,394318539,795868871.0,1050822717.0,1454586905.0,1427328595.0,302732,119992,58253,57912,61793,58654,66120,62204,57788,17711,49960,69916,79455,138009,67673,229390,190290,4920,52814,81321,79098,104632,96903
16168,20,14178628078.0,900582,564,236,102,109,124,105,123,138,99,1,73,167,210,321,29,359,442,0,67,153,158,234,189,10097002222.0,4081625856.0,47361238,2216302246.0,2897830827.0,3556074869.0,4674056532.0,787002366,5997484222.0,7671976771.0,20013924,684889417,1965535740.0,2744361386.0,3600594658.0,4654065868.0,644342,256240,130767,125712,127120,128648,132095,132910,123330,4867,133596,163473,202475,321112,75059,419897,469452,3155,78306,157124,187239,194111,269415
