연번,구획라벨,소속동,소속구간,용도구분,공유종류,경도,위도
1, 1-13-01,염창동, 1-13,일반,공유가능,126.8743747,37.55293616
2, 1-13-02,염창동, 1-13,일반,공유가능,126.8743701,37.55298392
3, 1-13-03,염창동, 1-13,일반,공유가능,126.8743654,37.55303347
4, 1-13-04,염창동, 1-13,일반,공유가능,126.8743608,37.55308303
5, 1-15-02,염창동, 1-15,일반,공유가능,126.8762511,37.55051388
6, 1-15-03,염창동, 1-15,일반,공유가능,126.8761945,37.55052824
7, 1-15-04,염창동, 1-15,일반,공유가능,126.8761379,37.5505426
8, 1-15-11,염창동, 1-15,일반,공유가능,126.8760054,37.5505767
9, 1-20-104,염창동, 1-20,전용,공유가능,126.8772885,37.54799921
10, 1-22-01,염창동, 1-22,일반,공유가능,126.8764668,37.54814098
11, 1-22-02,염창동, 1-22,일반,공유가능,126.8764633,37.54818874
12, 1-22-03,염창동, 1-22,일반,공유가능,126.8764587,37.54823829
13, 1-22-04,염창동, 1-22,일반,공유가능,126.8764553,37.54828785
14, 1-22-05,염창동, 1-22,일반,공유가능,126.876454,37.54833741
15, 1-22-06,염창동, 1-22,일반,공유가능,126.876454,37.54838427
16, 1-22-07,염창동, 1-22,일반,공유가능,126.8764458,37.5485005
17, 1-34-01,염창동, 1-34,일반,공유가능,126.8695069,37.54968628
18, 1-34-02,염창동, 1-34,일반,공유가능,126.869448,37.54968261
19, 1-34-03,염창동, 1-34,일반,공유가능,126.869388,37.54967803
20, 1-34-04,염창동, 1-34,일반,공유가능,126.869044,37.54965602
21, 1-34-05,염창동, 1-34,일반,공유가능,126.8689874,37.54965325
22, 1-34-06,염창동, 1-34,일반,공유가능,126.8697886,37.54970462
23, 1-34-07,염창동, 1-34,일반,공유가능,126.8691006,37.54965968
24, 1-35-02,염창동, 1-35,일반,공유가능,126.8707054,37.55039999
25, 1-35-03,염창동, 1-35,일반,공유가능,126.870776,37.5504226
26, 1-35-04,염창동, 1-35,일반,공유가능,126.8709626,37.55049488
27, 1-35-05,염창동, 1-35,일반,공유가능,126.8710135,37.55051971
28, 1-35-06,염창동, 1-35,일반,공유가능,126.8710729,37.5505423
29, 1-35-07,염창동, 1-35,일반,공유가능,126.8711238,37.55056714
30, 1-35-08,염창동, 1-35,일반,공유가능,126.8711803,37.55059197
31, 1-35-09,염창동, 1-35,일반,공유가능,126.871234,37.55062582
32, 1-36-01,염창동, 1-36,일반,공유가능,126.8705569,37.55116117
33, 1-36-02,염창동, 1-36,일반,공유가능,126.8706022,37.55113645
34, 1-36-03,염창동, 1-36,일반,공유가능,126.870656,37.55110497
35, 1-36-05,염창동, 1-36,일반,공유가능,126.8710412,37.55088239
36, 1-36-07,염창동, 1-36,일반,공유가능,126.8707155,37.551069
37, 1-36-08,염창동, 1-36,일반,공유가능,126.8707693,37.55103752
38, 1-36-09,염창동, 1-36,일반,공유가능,126.8708146,37.55100829
