단속해당동,단속장소,차량번호,단속등록일
방화3동,22_23,23****9, 2021-01-01 06:37 PM
화곡3동,8_06,15****66, 2021-01-03 02:43 PM
화곡6동,11_61,90****2, 2021-01-04 08:11 AM
화곡8동,13_19,63****5, 2021-01-04 08:12 AM
화곡8동,13_19,81****6, 2021-01-04 08:14 AM
화곡8동,13_19,22****20, 2021-01-04 08:16 AM
화곡8동,13_19,10****25, 2021-01-04 08:17 AM
화곡8동,13_19,56****7, 2021-01-04 08:18 AM
화곡8동,13_01,86****0, 2021-01-04 08:29 AM
발산1동,17_04,22****8, 2021-01-04 08:35 AM
화곡1동,6_18_101,31****9, 2021-01-04 08:42 AM
가양2동,15_11,14****20, 2021-01-04 08:46 AM
가양2동,15_11,26****29, 2021-01-04 08:48 AM
화곡1동,6_27_102,86****6, 2021-01-04 08:49 AM
가양2동,15_11,서울****444, 2021-01-04 08:49 AM
화곡1동,6_35,15****33, 2021-01-04 08:51 AM
가양2동,15_11,85****3, 2021-01-04 08:52 AM
화곡1동,12_14,21****9, 2021-01-04 08:53 AM
화곡1동,6_54,55****1, 2021-01-04 08:58 AM
화곡1동,12_20,68****0, 2021-01-04 08:58 AM
가양3동,16_02,25****0, 2021-01-04 09:02 AM
화곡8동,13_50,76****1, 2021-01-04 09:12 AM
등촌1동,2_06,33****8, 2021-01-04 09:13 AM
화곡2동,7_60,33****0, 2021-01-04 09:15 AM
화곡2동,7_60,40****6, 2021-01-04 09:18 AM
등촌1동,2_19,35****1, 2021-01-04 09:18 AM
등촌1동,2_30,55****6, 2021-01-04 09:23 AM
등촌1동,2_30,15****45, 2021-01-04 09:24 AM
화곡4동,9_74,30****1, 2021-01-04 09:26 AM
염창동,1_47,39****2, 2021-01-04 09:31 AM
화곡4동,9_86,48****2, 2021-01-04 09:34 AM
염창동,1_44,25****2, 2021-01-04 09:34 AM
화곡6동,11_77,13****56, 2021-01-04 09:38 AM
염창동,1_35,33****7, 2021-01-04 09:40 AM
화곡6동,11_72,86****2, 2021-01-04 09:41 AM
염창동,1_20,13****8, 2021-01-04 09:53 AM
염창동,1_20,03****1, 2021-01-04 09:54 AM
우장산동,10_27,75****5, 2021-01-04 10:01 AM
화곡1동,12_18,35****5, 2021-01-04 10:12 AM
화곡1동,12_14,60****6, 2021-01-04 10:17 AM
우장산동,18_22,경기****532, 2021-01-04 10:42 AM
화곡2동,7_24_106,경기****604, 2021-01-04 10:46 AM
등촌1동,2_06,28****3, 2021-01-04 10:50 AM
화곡6동,11_68,13****65, 2021-01-04 10:59 AM
화곡1동,6_17,03****0, 2021-01-04 10:59 AM
등촌3동,4_08,13****1, 2021-01-04 11:02 AM
화곡1동,6_17,95****3, 2021-01-04 11:02 AM
화곡6동,11_48,48****8, 2021-01-04 11:09 AM
가양1동,14_14,32****5, 2021-01-04 01:24 PM
가양1동,14_14,03****4, 2021-01-04 01:26 PM
화곡8동,13_19,81****6, 2021-01-04 01:28 PM
가양1동,14_14,09****3, 2021-01-04 01:28 PM
화곡2동,7_03,64****0, 2021-01-04 01:30 PM
화곡8동,13_23,46****2, 2021-01-04 01:35 PM
가양1동,14_12,서울****941, 2021-01-04 01:36 PM
화곡1동,12_14,12****3, 2021-01-04 01:37 PM
화곡8동,13_09,67****4, 2021-01-04 01:38 PM
화곡8동,13_09,81****1, 2021-01-04 01:40 PM
화곡3동,8_24,58****8, 2021-01-04 01:44 PM
화곡8동,13_01,46****9, 2021-01-04 01:44 PM
화곡8동,13_01,42****1, 2021-01-04 01:45 PM
화곡8동,13_01,86****0, 2021-01-04 01:46 PM
화곡3동,8_14,55****0, 2021-01-04 01:48 PM
화곡8동,13_17_101,35****7, 2021-01-04 01:50 PM
화곡3동,8_01,32****64, 2021-01-04 01:51 PM
화곡1동,6_17,15****79, 2021-01-04 01:56 PM
화곡1동,6_18_101,31****9, 2021-01-04 02:01 PM
화곡3동,8_34,09****0, 2021-01-04 02:02 PM
발산1동,17_09,09****0, 2021-01-04 02:05 PM
화곡1동,6_61,47****7, 2021-01-04 02:08 PM
발산1동,17_02,36****8, 2021-01-04 02:09 PM
발산1동,17_49,36****6, 2021-01-04 02:18 PM
화곡1동,6_46,69****5, 2021-01-04 02:21 PM
화곡1동,6_46,15****67, 2021-01-04 02:22 PM
화곡1동,6_46,48****4, 2021-01-04 02:23 PM
화곡2동,7_60,33****0, 2021-01-04 02:34 PM
우장산동,18_22,34****5, 2021-01-04 02:38 PM
화곡4동,9_81,48****4, 2021-01-04 02:44 PM
화곡6동,11_68,04****1, 2021-01-04 02:51 PM
