자치구별,자동차등록대수,주차면수,주차장확보율
소계,3176736,4354516,137
종로구,50347,96350,191
중구,61159,108561,178
용산구,79740,110649,139
성동구,107564,134107,125
광진구,98371,137040,139
동대문구,98466,148063,150
중랑구,114375,133919,117.1
성북구,121073,155093,128.1
강북구,75337,93845,125
도봉구,95631,111916,117
노원구,152285,183901,121
은평구,133175,166662,125.1
서대문구,89200,125844,141
마포구,121363,182861,151
양천구,151338,168382,111
강서구,205058,288042,140.5
구로구,145874,190319,130
금천구,90169,133132,148
영등포구,146095,183911,126
동작구,106229,139766,132
관악구,118083,153306,130
서초구,177132,264800,149
강남구,239642,402283,167.9
송파구,246852,353631,143
강동구,152178,188133,124
