booktitle,booklink
혼자 공부하는 파이썬,/Product/Goods/109625396
혼자 공부하는 머신러닝+딥러닝,/Product/Goods/96024871
Do it! 점프 투 파이썬,/Product/Goods/74419916
만들면서 배우는 파이썬과 40개의 작품들,/Product/Goods/107490270
1일 1로그 100일 완성 IT 지식,/Product/Goods/105803863
데이터에듀 빅데이터 분석기사 실기 with Python,/Product/Goods/114655897
파이썬 머신러닝 완벽 가이드,/Product/Goods/108824557
밑바닥부터 시작하는 딥러닝 ,/Product/Goods/34970929
이것이 취업을 위한 코딩 테스트다 with 파이썬 ,/Product/Goods/91433923
2023 이기적 빅데이터분석기사 실기 기본서,/Product/Goods/114873812
Pandas를 이용한 데이터 분석 실습 2/e,/Product/Goods/115330064
핸즈온 머신러닝,/Product/Goods/89959711
Do it! 쉽게 배우는 파이썬 데이터 분석,/Product/Goods/108947478
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,/Product/Goods/91219874
밑바닥부터 시작하는 딥러닝 2,/Product/Goods/72173703
케라스 창시자에게 배우는 딥러닝 개정 2판,/Product/Goods/112012471
일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기,/Product/Goods/109003861
Do it! 알고리즘 코딩 테스트 - 파이썬 편,/Product/Goods/111686187
파이썬 알고리즘 인터뷰,/Product/Goods/91084402
파이썬 클린 코드 2nd Edition,/Product/Goods/114667254
OpenCV-Python으로 배우는 영상처리 및 응용,/Product/Goods/95785417
모두의 데이터 분석 with 파이썬,/Product/Goods/72227684
모두의 인공지능 기초 수학,/Product/Goods/91358533
Do it! 파이썬 생활 프로그래밍,/Product/Goods/91437485
