score,genre,review
10,연출스토리,"참 사람냄새 나는 영화네요"
10,영상미배우,"박정민의 연기는 세계 최고다"
7,스토리배우,"재밌게 잘 봤습니다."
10,영상미배우,"잔잔한 스토리에 감동까지"
10,연출영상미,"순수한 마음으로 함께 하는 것이 좋습니다 순박하고 아름다운 풍경을 보며 자연경광 을 통해 도시나 구체적인 장소 또는 다른 사람의 마음을 담은 영상입니다"
10,스토리배우,"너무 감동적이고 연기도 너무 잘해요"
10,영상미배우,"모든게 완벽했던 영화. 기억될 수작"
7,연출스토리,"잔잔한 영화.그냥 기대안하고 볼만함"
10,연출배우,"눈물 한바가지 ㅠㅠ"
10,연출스토리,"잔잔하지만 마음에 파문이 이는 영화네요. 추천!"
10,연출배우,"인간이 가질 수 있는 평범한, 그러나 평범하지 않은 감정에 공감이."
10,배우,"아주아주 자미있어요"
10,연출배우,"소소하지민 배우들의 연기력이 좋았어요"
10,스토리영상미,"반전으로 눈물. 감동적인 부분 많았습니다. 누나가 죽은사람이었을줄이야."
9,연출스토리,"역이 가져다주는 삶에 미치는 영향을 가슴아픈 가족사와 애환과 그리움을 그린 작품이였음"
10,스토리배우,"슬프기도 재미있기도 쏘쏘"
10,배우,"잠은 조금 오지만 마음이 따뜻해지는영화"
8,스토리영상미,"적당히 재밌어요 볼만했어요"
10,스토리배우,"이 시대에서 가장 감동적인 영화였다"
9,스토리,"스토리전계 알차요. 너무 괜찮네요"
10,스토리,"연출이 너무 좋았어요"
10,스토리배우,"감동이 있는 실화를 바탕으로 한 드라마같은 영화"
8,스토리배우,"아이와 함께 재미있게 관람했네요"
10,연출스토리,"눈물나는 영화네요 엄청울었어요"
10,스토리,"따뜻한 분위기의 영화"
10,연출스토리,"배우 연기력도 좋고 스토리가 좋네요"
8,스토리배우,"재미있게 잘 봤습니다."
9,스토리영상미,"누구랑 같이 봐도 좋을 영화, 보고 나서는 여운이 남았던 영화"
10,영상미,"간만에 재미있는 영화를보았습니다"
10,연출배우,"재미 있게보다가 마지막이슬퍼서 감동과 재미가있었어요"
10,스토리영상미,"마음이 정화되는 소중한 기적의 시간!!!"
10,배우OST,"배우들의 연기는 너무 좋았지만 스토리가 넘 재미있어요 ~"
10,영상미배우,"잔잔하고 감동과 재미가있어서좋네요"
10,영상미배우,"영화 엄청 재밌었음"
8,스토리배우,"💧🥲🥲🥲💧"
8,영상미배우,"반전과 배우들의 연기가 좋았음"
10,스토리배우,"슬프고 살짝 무섭고 좋은영화~"
10,연출스토리,"또 보고싶은 이야기. 감동 멋져요"
10,스토리영상미,"남편의 고향.. 인터뷰에서 실제 촬영장소는 봉화가 아니라고 ㅎㅎ 윤아 너무 귀여웠어요"
10,스토리영상미,"실화내용이라니 감동입니다."
10,연출,"영화 재미있게 봤어요"
10,배우,"믿고보는 박정민 윤아 재미있게 봤습니다"
10,스토리,"즐겁게 관람했습니다."
10,스토리배우,"매력의 박배우연기 근래 보았던 영화중에 좋았던"
8,영상미배우,"살짝 슬프기도 함ᆢ"
10,스토리,"영화 재미있게 잘 봤어요"
10,영상미배우,"박정민의 수스한 매력과 윤아의 케이 재미있게 봤어요"
10,스토리,"너무 재미있고 감동적이었어요"
10,스토리배우,"배우 연기 좋았어요"
10,연출스토리,"박정민의 연기 윤아의 애교 총합해서 따뜻함"
9,연출배우,"정말 기적이 있을까요?"
10,스토리,"감동적이에요 ㅎㅎ 다만 살짝 지루했어요^^;"
9,연출스토리,"따뜻한 영화. 배우들의 연기도 좋았어요. 강추"
10,스토리배우,"감동과 웃음을 준 영화에요"
10,배우,"배우님들의 연기가 좋았고 잔잔한 줄거리가 좋았어요"
5,스토리영상미,"우는 장몀 너무 많음"
10,연출배우,"실화를 바탕으로 잘봤어요"
10,연출배우,"최고의 영화가 아니였나 싶어요 깊은 감동으로 주변 사람들께 내리기전에 볼 것을 권했던 손가락에 곱을 정도로 최고의 영화로 기억합니다"
10,영상미배우,"잉모야 식스센스야모야"
8,배우OST,"억지스런 감동이 조금 부담..."
10,영상미,"감동도있고 재이도있고 두마리 토끼를 모두 잡아라"
8,스토리배우,"마음이 따뜻해지는 영화. 배우들의 열연으로 재밌게 잘 봤습니다~"
10,연출스토리,"감덩이 밀려왓어요 흑흘"
10,스토리배우,"끝으로 갈수록 벅차오르는 스토리와 마음을 울리는 배우들의 연기력이 돋보였던 영화"
8,스토리,"실화를 소재 영화화"
9,영상미,"영상미가 매우 뛰어남"
10,영상미배우,"가족끼리 보기 딱 좋은~ 감동적이었습니다"
10,스토리,"오랜만에 따뜻한 영화 봤어요"
10,스토리배우,"재밌게 봤어요. 보면서 좀 울었네요"
10,연출스토리,"재밌게잘봤습니다~~"
