age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,management,married,tertiary,no,2143,yes,no,,5,may,261,1,-1,0,,no
36,technician,single,secondary,no,265,yes,yes,,5,may,348,1,-1,0,,no
25,blue-collar,married,secondary,no,-7,yes,no,,5,may,365,1,-1,0,,no
53,technician,married,secondary,no,-3,no,no,,5,may,1666,1,-1,0,,no
24,technician,single,secondary,no,-103,yes,yes,,5,may,145,1,-1,0,,no
60,retired,married,tertiary,no,100,no,no,,5,may,528,1,-1,0,,no
55,technician,married,secondary,no,1205,yes,no,,5,may,158,2,-1,0,,no
54,management,married,secondary,no,282,yes,yes,,5,may,154,1,-1,0,,no
55,services,divorced,secondary,no,91,no,no,,5,may,349,1,-1,0,,no
56,admin.,married,secondary,no,45,no,no,,5,may,1467,1,-1,0,,yes
41,technician,married,secondary,no,1270,yes,no,,5,may,1389,1,-1,0,,yes
47,technician,married,tertiary,no,151,yes,no,,5,may,190,1,-1,0,,no
44,blue-collar,married,secondary,no,144,yes,no,,5,may,247,2,-1,0,,no
56,technician,divorced,,no,56,yes,no,,5,may,439,1,-1,0,,no
43,services,married,secondary,no,41,yes,yes,,5,may,127,2,-1,0,,no
31,blue-collar,married,secondary,no,0,yes,no,,5,may,143,1,-1,0,,no
39,technician,single,tertiary,no,47,yes,no,,5,may,181,1,-1,0,,no
40,blue-collar,married,secondary,no,1225,yes,no,,5,may,558,5,-1,0,,no
54,admin.,married,tertiary,no,184,no,no,,5,may,673,2,-1,0,,yes
35,retired,single,primary,no,434,no,no,,5,may,138,1,-1,0,,no
53,admin.,divorced,secondary,no,1151,yes,no,,5,may,412,1,-1,0,,no
51,management,married,secondary,no,1161,yes,no,,5,may,717,1,-1,0,,no
35,technician,divorced,secondary,no,787,yes,no,,5,may,683,2,-1,0,,no
35,services,married,secondary,no,59,yes,no,,5,may,1077,1,-1,0,,no
58,retired,married,primary,no,235,yes,no,,5,may,167,1,-1,0,,no
31,management,single,tertiary,no,0,yes,no,,5,may,562,1,-1,0,,no
51,retired,married,secondary,no,2127,yes,no,,5,may,172,1,-1,0,,no
34,blue-collar,married,secondary,no,243,yes,no,,5,may,291,1,-1,0,,no
42,retired,married,secondary,no,56,yes,no,,5,may,215,1,-1,0,,no
43,technician,divorced,,no,205,yes,no,,5,may,1419,1,-1,0,,no
57,entrepreneur,married,secondary,no,294,yes,no,,5,may,746,2,-1,0,,no
46,technician,married,secondary,no,349,yes,yes,,5,may,127,1,-1,0,,no
43,technician,married,secondary,no,434,yes,no,,5,may,117,1,-1,0,,no
42,management,divorced,tertiary,no,742,yes,no,,5,may,58,3,-1,0,,no
42,management,single,tertiary,no,0,yes,yes,,5,may,562,2,-1,0,,yes
40,blue-collar,divorced,primary,no,0,yes,no,,5,may,962,1,-1,0,,no
56,entrepreneur,divorced,secondary,no,155,no,no,,5,may,118,3,-1,0,,no
40,self-employed,married,secondary,no,672,yes,no,,5,may,164,2,-1,0,,no
54,technician,single,,no,447,yes,no,,5,may,742,2,-1,0,,no
42,blue-collar,divorced,primary,no,28,yes,no,,5,may,126,3,-1,0,,no
50,technician,married,secondary,no,1234,yes,no,,5,may,205,2,-1,0,,no
56,admin.,married,secondary,no,353,yes,no,,5,may,106,2,-1,0,,no
46,admin.,married,secondary,no,-358,yes,no,,5,may,358,2,-1,0,,no
49,blue-collar,married,,no,403,yes,no,,5,may,241,2,-1,0,,no
48,management,married,secondary,no,161,yes,no,,5,may,224,3,-1,0,,no
57,technician,married,,no,206,yes,no,,5,may,216,3,-1,0,,no
34,admin.,married,secondary,no,560,yes,no,,5,may,198,3,-1,0,,no
31,admin.,single,secondary,no,12,yes,no,,5,may,208,2,-1,0,,no
38,admin.,divorced,secondary,no,308,yes,no,,6,may,102,1,-1,0,,no
37,blue-collar,married,secondary,no,1293,no,no,,6,may,652,1,-1,0,,no
38,blue-collar,married,secondary,no,757,yes,no,,6,may,133,1,-1,0,,no
49,services,married,secondary,no,245,yes,yes,,6,may,318,1,-1,0,,no
46,blue-collar,divorced,primary,no,1927,yes,no,,6,may,241,3,-1,0,,no
38,technician,married,secondary,no,284,yes,no,,6,may,483,1,-1,0,,no
46,blue-collar,married,secondary,no,1660,yes,no,,6,may,259,1,-1,0,,no
43,unemployed,married,secondary,no,0,yes,no,,6,may,245,1,-1,0,,no
52,blue-collar,divorced,primary,no,55,yes,yes,,6,may,186,1,-1,0,,no
42,management,married,tertiary,no,1680,yes,no,,6,may,765,1,-1,0,,no
35,admin.,married,secondary,no,530,yes,no,,6,may,149,1,-1,0,,no
32,services,single,secondary,no,310,yes,no,,6,may,144,1,-1,0,,no
37,management,married,tertiary,no,231,yes,yes,,6,may,451,2,-1,0,,no
34,blue-collar,married,secondary,no,270,yes,yes,,6,may,159,1,-1,0,,no
43,blue-collar,married,secondary,no,-509,yes,no,,6,may,124,1,-1,0,,no
46,blue-collar,married,,no,1044,yes,no,,6,may,43,1,-1,0,,no
41,technician,married,secondary,no,767,yes,yes,,6,may,204,1,-1,0,,no
43,blue-collar,married,secondary,no,0,no,no,,6,may,187,1,-1,0,,no
60,retired,married,secondary,yes,15,no,no,,6,may,80,1,-1,0,,no
55,unemployed,divorced,secondary,no,387,yes,no,,6,may,918,1,-1,0,,yes
44,blue-collar,married,primary,no,148,yes,no,,6,may,211,1,-1,0,,no
52,admin.,married,secondary,no,484,yes,no,,6,may,128,1,-1,0,,no
34,admin.,single,secondary,no,0,yes,no,,6,may,150,1,-1,0,,no
36,self-employed,married,tertiary,no,107,yes,no,,6,may,146,1,-1,0,,no
30,admin.,married,secondary,no,46,yes,no,,6,may,114,2,-1,0,,no
47,self-employed,married,,no,935,yes,no,,6,may,225,1,-1,0,,no
56,admin.,divorced,secondary,no,778,yes,no,,6,may,149,2,-1,0,,no
39,blue-collar,divorced,,no,170,yes,no,,6,may,268,2,-1,0,,no
55,blue-collar,married,secondary,no,840,yes,no,,6,may,310,2,-1,0,,no
37,services,married,secondary,no,358,yes,no,,6,may,390,3,-1,0,,no
30,technician,single,secondary,no,0,yes,no,,6,may,369,1,-1,0,,no
36,technician,single,secondary,no,-15,yes,no,,6,may,341,3,-1,0,,no
55,services,divorced,secondary,no,141,yes,no,,6,may,262,2,-1,0,,no
28,services,divorced,secondary,no,89,no,no,,6,may,174,2,-1,0,,no
38,blue-collar,married,secondary,no,384,yes,no,,6,may,1906,3,-1,0,,no
29,technician,single,tertiary,no,405,yes,no,,6,may,65,1,-1,0,,no
55,services,married,primary,no,255,yes,no,,6,may,285,1,-1,0,,no
47,technician,married,,no,2106,yes,no,,6,may,168,1,-1,0,,no
39,management,married,tertiary,no,2877,yes,no,,6,may,278,1,-1,0,,no
31,blue-collar,single,tertiary,no,60,yes,yes,,6,may,389,1,-1,0,,no
39,blue-collar,married,primary,no,2226,yes,no,,6,may,158,1,-1,0,,no
40,technician,married,secondary,no,109,yes,no,,6,may,147,2,-1,0,,no
30,technician,married,secondary,no,484,yes,no,,6,may,703,1,-1,0,,yes
52,entrepreneur,married,tertiary,no,-184,yes,yes,,6,may,392,2,-1,0,,no
44,services,divorced,secondary,no,1,yes,no,,6,may,235,4,-1,0,,no
29,student,single,secondary,no,209,yes,no,,6,may,311,2,-1,0,,no
38,admin.,single,secondary,no,221,yes,no,,6,may,211,2,-1,0,,no
41,services,married,,no,4,no,no,,6,may,284,2,-1,0,,no
29,admin.,married,secondary,no,-150,yes,no,,6,may,328,1,-1,0,,no
41,blue-collar,married,secondary,no,140,yes,no,,6,may,311,3,-1,0,,no
49,self-employed,married,secondary,no,1,yes,no,,6,may,260,3,-1,0,,no
31,management,single,secondary,no,783,yes,no,,6,may,320,1,-1,0,,no
40,services,divorced,secondary,no,105,yes,no,,6,may,189,2,-1,0,,no
40,management,single,tertiary,no,242,yes,no,,6,may,221,2,-1,0,,no
39,services,married,secondary,no,1205,yes,no,,6,may,118,2,-1,0,,no
36,technician,married,secondary,no,368,yes,yes,,6,may,1597,2,-1,0,,yes
44,entrepreneur,married,tertiary,no,1631,yes,no,,6,may,346,2,-1,0,,no
30,technician,single,,no,-48,yes,no,,6,may,152,2,-1,0,,no
24,services,single,secondary,no,77,yes,yes,,6,may,390,2,-1,0,,no
46,blue-collar,married,,no,401,yes,no,,6,may,306,2,-1,0,,no
43,services,divorced,secondary,no,0,yes,no,,6,may,125,2,-1,0,,no
43,admin.,single,secondary,no,-497,yes,no,,6,may,234,2,-1,0,,no
40,blue-collar,divorced,primary,no,369,no,no,,6,may,79,2,-1,0,,no
31,admin.,married,secondary,no,0,yes,yes,,6,may,144,2,-1,0,,no
40,blue-collar,divorced,secondary,no,0,yes,no,,6,may,121,2,-1,0,,no
53,retired,married,secondary,no,303,yes,no,,6,may,593,2,-1,0,,no
39,blue-collar,married,secondary,no,607,yes,no,,6,may,99,2,-1,0,,no
28,admin.,single,secondary,no,251,yes,no,,6,may,178,2,-1,0,,no
60,retired,married,primary,no,364,yes,no,,6,may,631,2,-1,0,,no
47,entrepreneur,married,,no,209,yes,no,,6,may,135,2,-1,0,,no
34,management,married,tertiary,no,105,yes,no,,6,may,314,3,-1,0,,no
31,entrepreneur,married,tertiary,no,281,yes,no,,6,may,206,2,-1,0,,no
39,admin.,married,secondary,no,20,yes,no,,7,may,124,2,-1,0,,no
55,technician,single,tertiary,no,92,yes,no,,7,may,118,3,-1,0,,no
47,blue-collar,married,secondary,no,1001,yes,no,,7,may,201,4,-1,0,,no
42,management,divorced,tertiary,no,221,yes,no,,7,may,720,2,-1,0,,no
56,retired,married,secondary,no,0,yes,no,,7,may,333,4,-1,0,,no
37,blue-collar,single,secondary,no,238,yes,no,,7,may,200,2,-1,0,,no
35,admin.,married,secondary,no,0,no,no,,7,may,326,1,-1,0,,no
35,blue-collar,married,primary,yes,0,yes,no,,7,may,292,1,-1,0,,no
45,self-employed,divorced,secondary,no,-139,yes,no,,7,may,152,3,-1,0,,no
37,services,single,secondary,no,259,yes,no,,7,may,130,1,-1,0,,no
36,admin.,divorced,secondary,no,0,yes,no,,7,may,133,2,-1,0,,no
31,blue-collar,single,secondary,no,1415,yes,no,,7,may,485,1,-1,0,,no
31,technician,single,secondary,no,147,yes,no,,7,may,374,1,-1,0,,no
47,blue-collar,married,secondary,no,387,yes,no,,7,may,122,2,-1,0,,no
40,blue-collar,married,secondary,no,563,yes,no,,7,may,615,1,-1,0,,no
33,retired,married,secondary,no,165,no,no,,7,may,111,1,-1,0,,no
26,blue-collar,single,secondary,no,24,yes,no,,7,may,180,1,-1,0,,no
52,self-employed,married,secondary,no,273,no,no,,7,may,227,1,-1,0,,no
32,blue-collar,married,secondary,no,0,yes,no,,7,may,298,1,-1,0,,no
37,,single,,no,414,yes,no,,7,may,131,1,-1,0,,no
38,admin.,married,secondary,no,8,yes,no,,7,may,125,1,-1,0,,no
32,management,married,tertiary,no,233,yes,no,,7,may,193,1,-1,0,,no
31,services,married,tertiary,no,309,yes,yes,,7,may,294,1,-1,0,,no
40,admin.,married,secondary,no,2100,yes,yes,,7,may,164,2,-1,0,,no
30,management,single,tertiary,no,112,yes,no,,7,may,245,1,-1,0,,no
52,blue-collar,married,secondary,no,-98,yes,no,,7,may,423,1,-1,0,,no
54,blue-collar,married,secondary,no,-932,yes,no,,7,may,799,1,-1,0,,no
26,services,married,secondary,no,0,yes,no,,7,may,180,2,-1,0,,no
46,entrepreneur,married,,no,1481,yes,no,,7,may,49,3,-1,0,,no
31,management,married,secondary,no,2019,no,no,,7,may,380,2,-1,0,,no
33,blue-collar,married,primary,no,198,yes,no,,7,may,121,2,-1,0,,no
37,management,married,tertiary,no,115,no,no,,7,may,36,1,-1,0,,no
52,admin.,married,primary,no,270,yes,no,,7,may,294,2,-1,0,,no
33,management,married,tertiary,no,436,yes,no,,7,may,48,1,-1,0,,no
38,blue-collar,single,secondary,no,-1,yes,no,,7,may,72,1,-1,0,,no
49,services,married,secondary,no,1377,yes,no,,7,may,1101,1,-1,0,,no
47,admin.,married,,no,0,yes,no,,7,may,164,1,-1,0,,no
34,blue-collar,married,primary,no,267,yes,no,,7,may,362,1,-1,0,,no
39,admin.,single,secondary,no,573,yes,no,,7,may,329,1,-1,0,,no
39,admin.,married,secondary,no,367,yes,no,,7,may,106,1,-1,0,,no
31,blue-collar,married,primary,no,19,yes,no,,7,may,241,2,-1,0,,no
40,blue-collar,married,secondary,no,4,yes,yes,,7,may,263,1,-1,0,,no
23,management,single,tertiary,no,2605,yes,no,,7,may,278,6,-1,0,,no
50,blue-collar,married,secondary,no,1557,yes,no,,7,may,263,6,-1,0,,no
36,blue-collar,married,primary,no,-20,yes,no,,7,may,353,3,-1,0,,no
44,blue-collar,married,primary,no,-171,yes,no,,7,may,441,2,-1,0,,no
47,blue-collar,married,secondary,no,438,yes,no,,7,may,46,3,-1,0,,no
58,technician,married,secondary,no,786,yes,no,,7,may,165,3,-1,0,,no
39,blue-collar,single,secondary,no,29,yes,no,,7,may,214,2,-1,0,,no
44,blue-collar,married,primary,no,420,yes,no,,7,may,110,2,-1,0,,no
49,services,single,primary,no,114,yes,no,,7,may,99,2,-1,0,,no
44,blue-collar,single,,no,2167,yes,no,,7,may,1273,1,-1,0,,no
