구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율
강남구,3238,150.61919504643964,570500.0,565550.0,4950.0,63167.0,0.8676599474145487,11.07221735319895,0.5675723049956178
강동구,1010,166.49076517150397,453233.0,449019.0,4214.0,54622.0,0.9297646023127177,12.051637899270354,0.22284343814329496
강북구,831,125.20325203252031,330192.0,326686.0,3506.0,54813.0,1.0618064641178466,16.600341619421428,0.25167175461549646
강서구,911,134.7938144329897,603772.0,597248.0,6524.0,72548.0,1.080540336418383,12.015794041459358,0.15088477107252407
관악구,2109,149.29078014184398,525515.0,507203.0,18312.0,68082.0,3.4845817911953034,12.955291475980705,0.4013206093070607
광진구,878,53.22862129144852,372164.0,357211.0,14953.0,42214.0,4.017852344665255,11.34284885158156,0.23591749873711593
구로구,1884,64.97373029772329,447874.0,416487.0,31387.0,56833.0,7.007997785091343,12.68950642368166,0.42065402322974765
금천구,1348,100.0,255082.0,236353.0,18729.0,32970.0,7.342344814608635,12.925255408064857,0.5284575156224273
노원구,1566,188.929889298893,569384.0,565565.0,3819.0,71941.0,0.6707248535259157,12.634882609978504,0.27503407190929147
도봉구,825,246.6386554621849,348646.0,346629.0,2017.0,51312.0,0.5785237748317777,14.717507156255916,0.23662970462876384
동대문구,1870,74.76635514018692,369496.0,354079.0,15417.0,54173.0,4.172440297053283,14.661322450040053,0.5060947885768723
동작구,1302,139.33823529411765,412520.0,400456.0,12064.0,56013.0,2.9244642683991082,13.578250751478716,0.31562106079705227
마포구,980,212.1019108280255,389649.0,378566.0,11083.0,48765.0,2.844354791106868,12.515109752623516,0.2515084088500163
서대문구,1254,48.5781990521327,327163.0,314982.0,12181.0,48161.0,3.7232205353294843,14.720796667104777,0.3832951770218515
서초구,2297,63.37126600284495,450310.0,445994.0,4316.0,51733.0,0.9584508449734627,11.488308054451378,0.5100930470120584
성동구,1327,81.78082191780823,311244.0,303380.0,7864.0,39997.0,2.5266350515993885,12.850689491203044,0.42635360039069026
성북구,1651,63.62735381565907,461260.0,449773.0,11487.0,64692.0,2.4903525126826516,14.025061787278325,0.35793261934700604
송파구,1081,104.34782608695652,667483.0,660584.0,6899.0,72506.0,1.0335843759316716,10.862598747833278,0.1619516901554047
양천구,2482,34.67173087357569,479978.0,475949.0,4029.0,52975.0,0.8394134731175179,11.036964194192233,0.517107034072395
영등포구,1277,157.97979797979798,402985.0,368072.0,34913.0,52413.0,8.663597900666279,13.006191297442832,0.3168852438676378
용산구,2096,53.216374269005854,244203.0,229456.0,14747.0,36231.0,6.038828351822049,14.836427070920505,0.8583023140583859
은평구,2108,85.23725834797891,494388.0,489943.0,4445.0,72334.0,0.899091401894868,14.631018552230232,0.4263857536995234
종로구,1619,248.92241379310346,162820.0,153589.0,9231.0,25425.0,5.669450927404496,15.61540351308193,0.994349588502641
중구,1023,147.6997578692494,133240.0,124312.0,8928.0,20764.0,6.700690483338337,15.583908736115282,0.7677874512158511
중랑구,916,79.96070726915521,414503.0,409882.0,4621.0,56774.0,1.114829084469835,13.696885185390698,0.22098754411910168
