,날짜,영화제목,영화평점
0,2022-07-01,탑건: 매버릭,9.80
1,2022-07-01,범죄도시2,9.46
2,2022-07-01,언터처블: 1%의 우정,9.33
3,2022-07-01,로마의 휴일,9.26
4,2022-07-01,극장판 주술회전 0,9.25
5,2022-07-01,피아니스트의 전설,9.25
6,2022-07-01,바람과 함께 사라지다,9.25
7,2022-07-01,러빙 빈센트,9.22
8,2022-07-01,코다,9.12
9,2022-07-01,카시오페아,9.10
10,2022-07-01,올드보이,9.04
11,2022-07-01,이별의 아침에 약속의 꽃을 장식하자,8.97
12,2022-07-01,디어 헌터,8.93
13,2022-07-01,중경삼림,8.90
14,2022-07-01,펄프 픽션,8.76
15,2022-07-01,아메리칸 셰프,8.75
16,2022-07-01,걸어도 걸어도,8.63
17,2022-07-01,분노,8.55
18,2022-07-01,그녀,8.52
19,2022-07-01,헤어질 결심,8.46
20,2022-07-01,드라이브 마이 카,8.41
21,2022-07-01,신은 죽지 않았다 3: 어둠 속의 빛,8.32
22,2022-07-01,어나더 라운드,8.32
23,2022-07-01,우연과 상상,8.15
24,2022-07-01,릴리 슈슈의 모든 것,8.12
25,2022-07-01,애프터 양,8.09
26,2022-07-01,마스터,7.98
27,2022-07-01,밀양,7.95
28,2022-07-01,철벽선생,7.73
29,2022-07-01,버즈 라이트이어,7.69
30,2022-07-01,고스트 스토리,7.63
31,2022-07-01,립반윙클의 신부,7.39
32,2022-07-01,그린 나이트,7.32
33,2022-07-01,닥터 스트레인지: 대혼돈의 멀티버스,7.29
34,2022-07-01,은혼,7.20
35,2022-07-01,불도저에 탄 소녀,7.11
36,2022-07-01,그대가 조국,7.10
37,2022-07-01,마녀(魔女) Part2. The Other One,6.68
38,2022-07-01,박쥐,6.33
39,2022-07-01,쥬라기 월드: 도미니언,6.24
40,2022-07-01,브로커,5.53
41,2022-07-02,탑건: 매버릭,9.80
42,2022-07-02,범죄도시2,9.46
43,2022-07-02,언터처블: 1%의 우정,9.33
44,2022-07-02,로마의 휴일,9.26
45,2022-07-02,극장판 주술회전 0,9.25
46,2022-07-02,피아니스트의 전설,9.25
47,2022-07-02,바람과 함께 사라지다,9.25
48,2022-07-02,러빙 빈센트,9.22
49,2022-07-02,코다,9.12
50,2022-07-02,카시오페아,9.10
51,2022-07-02,올드보이,9.04
52,2022-07-02,이별의 아침에 약속의 꽃을 장식하자,8.97
53,2022-07-02,디어 헌터,8.93
54,2022-07-02,중경삼림,8.90
55,2022-07-02,펄프 픽션,8.76
56,2022-07-02,아메리칸 셰프,8.75
57,2022-07-02,걸어도 걸어도,8.62
58,2022-07-02,분노,8.55
59,2022-07-02,그녀,8.52
60,2022-07-02,헤어질 결심,8.46
61,2022-07-02,드라이브 마이 카,8.40
62,2022-07-02,신은 죽지 않았다 3: 어둠 속의 빛,8.32
63,2022-07-02,우연과 상상,8.15
64,2022-07-02,릴리 슈슈의 모든 것,8.12
65,2022-07-02,애프터 양,8.09
66,2022-07-02,마스터,7.97
67,2022-07-02,밀양,7.95
68,2022-07-02,철벽선생,7.73
69,2022-07-02,버즈 라이트이어,7.66
70,2022-07-02,고스트 스토리,7.63
71,2022-07-02,그린 나이트,7.31
72,2022-07-02,닥터 스트레인지: 대혼돈의 멀티버스,7.29
73,2022-07-02,은혼,7.20
