customerID,Churn
7590-VHVEG,No
5575-GNVDE,No
3668-QPYBK,Yes
7795-CFOCW,No
9237-HQITU,Yes
9305-CDSKC,Yes
1452-KIOVK,No
6713-OKOMC,No
7892-POOKP,Yes
6388-TABGU,No
9763-GRSKD,No
7469-LKBCI,No
8091-TTVAX,No
0280-XJGEX,Yes
5129-JLPIS,No
3655-SNQYZ,No
8191-XWSZG,No
9959-WOFKT,No
4190-MFLUW,Yes
4183-MYFRB,No
8779-QRDMV,Yes
1680-VDCWW,No
1066-JKSGK,Yes
3638-WEABW,No
6322-HRPFA,No
6865-JZNKO,No
6467-CHFZW,Yes
8665-UTDHZ,Yes
5248-YGIJN,No
8773-HHUOZ,Yes
3841-NFECX,No
4929-XIHVW,No
6827-IEAUQ,No
7310-EGVHZ,No
3413-BMNZE,No
6234-RAAPL,No
6047-YHPVI,Yes
6572-ADKRS,No
5380-WJKOV,Yes
8168-UQWWF,Yes
8865-TNMNX,No
9489-DEDVP,No
9867-JCZSP,No
4671-VJLCL,No
4080-IIARD,No
3714-NTNFO,No
5948-UJZLF,No
7760-OYPDY,Yes
7639-LIAYI,No
2954-PIBKO,No
8012-SOUDQ,No
9420-LOJKX,Yes
6575-SUVOI,No
7495-OOKFY,Yes
4667-QONEA,No
1658-BYGOY,Yes
8769-KKTPH,No
5067-XJQFU,No
3957-SQXML,No
5954-BDFSG,No
0434-CSFON,No
1215-FIGMP,No
0526-SXDJP,No
0557-ASKVU,No
5698-BQJOH,Yes
5122-CYFXA,No
8627-ZYGSZ,No
3410-YOQBQ,No
3170-NMYVV,No
7410-OIEDU,No
2273-QCKXA,No
0731-EBJQB,No
1891-QRQSA,No
8028-PNXHQ,No
5630-AHZIL,No
2673-CXQEU,No
6416-JNVRK,No
5590-ZSKRV,No
0191-ZHSKZ,No
3887-PBQAO,No
5919-TMRGD,Yes
8108-UXRQN,No
9191-MYQKX,Yes
9919-YLNNG,No
0318-ZOPWS,No
4445-ZJNMU,No
4808-YNLEU,No
1862-QRWPE,No
2796-NNUFI,No
3016-KSVCP,No
4767-HZZHQ,No
2424-WVHPL,No
7233-PAHHL,No
6067-NGCEU,No
9848-JQJTX,No
8637-XJIVR,Yes
9803-FTJCG,No
0278-YXOOG,Yes
3212-KXOCR,No
4598-XLKNJ,Yes
6380-ARCEH,No
3679-XASPY,No
7123-WQUHX,No
5386-THSLQ,No
3192-NQECA,Yes
6180-YBIQI,No
6728-DKUCO,No
9750-BOOHV,No
8597-CWYHH,No
2848-YXSMW,No
0486-HECZI,Yes
4549-ZDQYY,No
5712-AHQNN,No
4846-WHAFZ,Yes
5256-SKJGO,No
3071-VBYPO,No
9560-BBZXK,No
5299-RULOA,Yes
8402-OOOHJ,No
9445-ZUEQE,No
1091-SOZGA,No
2928-HLDBA,No
0404-SWRVG,Yes
6497-TILVL,No
7219-TLZHO,No
4622-YNKIJ,No
4412-YLTKF,Yes
6734-PSBAW,No
3930-ZGWVE,No
2639-UGMAZ,No
2876-GZYZC,No
6207-WIOLX,Yes
8587-XYZSF,No
3091-FYHKI,Yes
2372-HWUHI,Yes
7799-LGRDP,No
7850-VWJUU,No
3774-VBNXY,No
6217-KDYWC,No
0390-DCFDQ,Yes
3146-MSEGF,No
4080-OGPJL,Yes
1095-WGNGG,No
2636-SJDOU,No
1131-QQZEB,No
5716-EZXZN,No
6837-BJYDQ,No
2135-RXIHG,Yes
6440-DKQGE,No
3466-BYAVD,No
3780-YVMFA,No
3874-EQOEP,Yes
1679-JRFBR,No
9073-ZZIAY,No
3077-RSNTJ,No
6551-GNYDG,No
9167-APMXZ,No
2749-CTKAJ,No
6371-NZYEG,No
7554-NEWDD,No
8992-VONJD,No
0867-MKZVY,Yes
4482-EWFMI,No
4648-YPBTM,No
2907-ILJBN,No
6345-FZOQH,No
3376-BMGFE,Yes
5997-OPVFA,No
3445-HXXGF,Yes
1159-WFSGR,No
7654-YWJUF,No
1875-QIVME,Yes
6727-IOTLZ,No
0691-JVSYA,Yes
5918-VUKWP,No
1744-JHKYS,No
2656-FMOKZ,Yes
2070-FNEXE,Yes
5947-SGKCL,No
3712-PKXZA,No
6317-YPKDH,Yes
6582-OIVSP,No
9367-WXLCH,Yes
5524-KHNJP,No
1918-ZBFQJ,Yes
1024-GUALD,Yes
4827-USJHP,No
8167-GJLRN,No
0956-SYCWG,No
8017-UVSZU,No
7100-FQPRV,No
2472-OVKUP,Yes
2984-RGEYA,No
9680-NIAUV,No
2146-EGVDT,No
2604-IJPDU,No
9178-JHUVJ,No
6168-YBYNP,No
7255-SSFBC,No
3645-DEYGF,No
9323-HGFWY,No
8544-GOQSH,No
3363-DTIVD,No
7018-WBJNK,No
9142-KZXOP,No
7674-YTAFD,No
6348-SNFUS,No
1285-OKIPP,Yes
7825-ECJRF,Yes
1347-KTTTA,No
7841-TZDMQ,Yes
4195-NZGTA,No
7157-SMCFK,No
4709-LKHYG,No
2504-DSHIH,No
0699-NDKJM,No
9286-BHDQG,No
0230-WEQUW,No
2040-LDIWQ,No
6496-JDSSB,No
9408-SSNVZ,Yes
4443-EMBNA,No
6469-MRVET,No
0742-MOABM,Yes
5961-VUSRV,No
6778-JFCMK,No
6341-JVQGF,No
2232-DMLXU,Yes
4811-JBUVU,No
0945-TSONX,No
2651-ZCBXV,No
3316-UWXUY,No
8937-RDTHP,Yes
7083-MIOPC,No
1984-GPTEH,No
1251-KRREG,Yes
0621-JFHOL,No
9903-LYSAB,No
0094-OIFMO,Yes
9227-UAQFT,No
7301-ABVAD,No
6614-FHDBO,No
7576-ASEJU,No
9058-HRZSV,No
4522-AKYLR,No
0221-WMXNQ,No
0303-UNCIP,No
9947-OTFQU,Yes
0322-YINQP,Yes
0959-WHOKV,No
4075-JFPGR,No
4629-NRXKX,Yes
9514-JDSKI,Yes
3282-ZISZV,No
3675-YDUPJ,No
4111-BNXIF,No
7017-VFHAY,No
6655-LHBYW,No
4959-JOSRX,Yes
5046-NUHWD,No
7273-TEFQD,Yes
3606-TWKGI,Yes
7529-ZDFXI,No
7605-BDWDC,No
1950-KSVVJ,No
0123-CRBRT,No
6292-TOSSS,No
3197-ARFOY,No
6323-AYBRX,Yes
7014-ZZXAW,No
4385-GZQXV,Yes
7633-MVPUY,No
6366-ZGQGL,Yes
4716-HHKQH,No
5940-AHUHD,Yes
6432-TWQLB,Yes
4484-GLZOU,Yes
3179-GBRWV,No
8645-KWHJO,No
4130-MZLCC,No
0314-TKOSI,No
8229-MYEJZ,No
2080-SRCDE,No
9577-WJVCQ,No
9512-UIBFX,Yes
6202-DYYFX,No
3808-HFKDE,No
5583-SXDAG,Yes
3488-PGMQJ,Yes
3580-REOAC,Yes
7534-BFESC,Yes
3727-OWVYD,No
2294-SALNE,No
4847-TAJYI,No
1563-IWQEX,No
8203-XJZRC,No
6556-DBKZF,No
6851-WEFYX,No
2985-JUUBZ,No
6390-DSAZX,Yes
0895-LMRSF,No
8098-LLAZX,Yes
8266-VBFQL,No
8181-YHCMF,No
2240-HSJQD,No
1248-DYXUB,No
0265-EDXBD,Yes
4115-BNPJY,No
3167-SNQPL,No
4091-TVOCN,No
1098-TDVUQ,No
7277-OZCGZ,No
1557-EMYVT,No
2799-ARNLO,No
7563-BIUPC,Yes
5027-YOCXN,No
3973-SKMLN,No
2321-OMBXY,Yes
2840-XANRC,Yes
6745-JEFZB,No
5020-ZSTTY,Yes
9880-TDQAC,No
8705-WZCYL,No
7102-JJVTX,No
8626-PTQGE,No
4983-CLMLV,No
5701-YVSVF,No
5804-LEPIM,Yes
5697-GOMBF,No
2739-CACDQ,No
9385-EHGDO,No
9498-FIMXL,No
2379-GYFLQ,No
0122-OAHPZ,Yes
2868-SNELZ,Yes
4322-RCYMT,Yes
6680-NENYN,Yes
2088-IEBAU,No
7982-VCELR,No
1343-EHPYB,Yes
6035-BXTTY,No
6885-PKOAM,No
7520-HQWJU,No
9639-BUJXT,No
5924-SNGKP,No
0021-IKXGC,No
2034-GDRCN,Yes
8966-SNIZF,No
6243-OZGFH,No
4654-DLAMQ,No
0513-RBGPE,No
5160-UXJED,No
4115-NZRKS,No
0219-YTZUE,Yes
0623-IIHUG,Yes
4572-DVCGN,Yes
3351-NGXYI,No
8984-EYLLL,No
9057-MSWCO,Yes
9833-TGFHX,No
9294-TDIPC,No
5229-DTFYB,No
0104-PPXDV,No
5176-LMJXE,No
3583-KRKMD,No
1010-DIAUQ,Yes
9069-LGEUL,No
7302-ZHMHP,No
9571-EDEBV,No
3520-FJGCV,No
6563-VRERX,No
0259-GBZSH,Yes
6122-EFVKN,No
2805-EDJPQ,No
6862-CQUMB,No
7156-MXBJE,No
6158-HDPXZ,No
9601-BRXPO,Yes
2863-IMQDR,No
5686-CMAWK,No
5651-CRHKQ,No
6905-NIQIN,Yes
8204-YJCLA,No
5167-ZFFMM,Yes
6583-SZVGP,No
4895-TMWIR,Yes
0533-BNWKF,Yes
1708-PBBOA,No
8782-LKFPK,No
5522-JBWMO,No
3597-MVHJT,No
9774-NRNAU,No
0224-RLWWD,No
9967-ATRFS,No
3951-NJCVI,No
2977-CEBSX,No
0177-PXBAT,No
6599-CEBNN,Yes
2519-ERQOJ,No
5876-QMYLD,No
2277-AXSDC,No
9442-JTWDL,No
0979-PHULV,Yes
3067-SVMTC,No
5495-GPSRW,No
7606-BPHHN,No
4742-DRORA,No
0111-KLBQG,No
4800-VHZKI,Yes
7989-CHGTL,Yes
0334-GDDSO,Yes
4163-NCJAK,No
5233-AOZUF,No
5973-EJGDP,No
1996-DBMUS,No
7916-VCCPB,No
4686-GEFRM,No
5249-QYHEX,No
0578-SKVMF,Yes
5564-NEMQO,Yes
2233-FAGXV,No
5605-IYGFG,No
7663-ZTEGJ,No
3935-TBRZZ,No
8111-BKVDS,No
2055-SIFSS,No
2806-MLNTI,No
8734-DKSTZ,No
4360-PNRQB,No
6152-ONASV,No
9063-ZGTUY,Yes
7781-HVGMK,No
2181-UAESM,No
2957-LOLHO,Yes
6048-NJXHX,No
2320-SLKMB,No
4980-URKXC,No
4376-KFVRS,No
5886-VLQVU,No
3577-AMVUX,No
0771-WLCLA,No
5628-RKIFK,No
0206-TBWLC,No
2937-FTHUR,No
1910-FMXJM,No
7752-XUSCI,Yes
4110-PFEUZ,Yes
0732-OCQOC,No
5168-MSWXT,No
1090-ESELR,No
8592-PLTMQ,No
5760-WRAHC,No
8847-GEOOQ,No
0256-LTHVJ,Yes
4785-FCIFB,No
8313-NDOIA,No
5149-CUZUJ,No
0942-KOWSM,No
4237-CLSMM,No
1452-VOQCH,No
