거래일자,법정동,도로명,아파트,층,전용면적,건축년도,거래금액
2019-10-05,면목동,용마산로,현대,2,84.81,1994,52000
2019-10-07,면목동,중랑천로,신성,5,59.91,1998,37000
2019-10-09,면목동,용마산로,현대,19,84.09,1994,57500
2019-10-10,면목동,사가정로41길,동원베네스트,5,84.86,2003,56000
2019-10-14,면목동,용마산로,현대,9,72.63,1994,50500
2019-10-16,면목동,봉우재로14길,동성네스트빌,10,62.2,2008,26300
2019-10-16,면목동,용마산로,현대,12,84.99,1994,59700
2019-10-16,면목동,중랑천로,신성,8,84.98,1998,44150
2019-10-23,면목동,겸재로,동서그랜드맨션,4,131.34,1993,43000
2019-10-25,면목동,면목로,킴스아파트,4,38.91,2018,28900
2019-10-25,면목동,용마산로,현대,4,74.79,1994,47500
2019-10-26,면목동,망우로26길,풍림,12,59.4,1997,34000
2019-10-29,면목동,용마산로86길,면목동2차미소지움아파트,12,78.56,2005,45400
2019-10-31,면목동,용마산로,현대,15,84.09,1994,60000
2019-10-03,상봉동,상봉로,상봉 듀오트리스,28,131.8,2016,91000
2019-10-04,상봉동,신내로7가길,동부아파트,8,84.99,1999,54500
2019-10-04,상봉동,신내로7나길,건영2차아파트,15,84.96,1996,56700
2019-10-04,상봉동,신내로7가길,동부아파트,2,54,1999,38000
2019-10-05,상봉동,신내로7나길,건영2차아파트,23,84.96,1996,59300
2019-10-06,상봉동,상봉로23길,더클래스,14,27.16,2019,26800
2019-10-07,상봉동,신내로7가길,동부아파트,4,54,1999,39000
2019-10-12,상봉동,상봉로,상봉 듀오트리스,5,131.8,2016,85000
2019-10-14,상봉동,신내로7나길,건영2차아파트,13,84.96,1996,57000
2019-10-15,상봉동,신내로7나길,건영2차아파트,17,84.96,1996,58000
2019-10-17,상봉동,상봉중앙로1다길,우정아파트,5,57.189,2002,49000
2019-10-19,상봉동,신내로7가길,동부아파트,3,84.99,1999,50000
2019-10-21,상봉동,상봉중앙로8길,건영캐스빌,4,84.6475,2006,64500
2019-10-23,상봉동,상봉중앙로1다길,우정아파트,24,57.189,2002,49300
2019-10-23,상봉동,신내로7나길,건영2차아파트,13,84.96,1996,59000
2019-10-26,상봉동,상봉중앙로8길,건영캐스빌,11,84.6475,2006,69800
2019-10-26,상봉동,신내로7가길,동부아파트,8,54,1999,40450
2019-10-26,상봉동,신내로7나길,건영2차아파트,16,57.3,1996,44200
2019-10-28,상봉동,중랑천로10길,금강산아파트,6,58.6,1996,23400
2019-10-29,상봉동,중랑천로10길,금강산아파트,3,66.54,1996,28100
2019-10-30,상봉동,상봉로,상봉 듀오트리스,9,131.8,2016,90000
2019-10-12,중화동,동일로140길,중화동건영아파트,12,59.94,1998,27000
2019-10-29,중화동,동일로140길,중화동건영아파트,13,84.76,1998,37200
2019-10-01,묵동,중랑천로,월드메르디앙,12,83.51,2009,56500
2019-10-03,묵동,동일로149길,우성,5,47.11,1975,20000
2019-10-09,묵동,숙선옹주로,이편한세상 화랑대,6,84.902,2017,76500
2019-10-12,묵동,숙선옹주로,이편한세상 화랑대,6,84.902,2017,77800
2019-10-16,묵동,중랑역로,삼성,4,62.16,1991,26700
2019-10-20,묵동,동일로149길,우성,3,48.13,1975,21000
2019-10-23,묵동,숙선옹주로,이편한세상 화랑대,12,59.953,2017,65500
2019-10-28,묵동,숙선옹주로,이편한세상 화랑대,3,75.914,2017,70800
2019-10-31,묵동,숙선옹주로,이편한세상 화랑대,13,84.902,2017,79000
2019-10-07,망우동,용마산로112가길,예성그린캐슬,5,84.83,2004,39500
2019-10-15,망우동,상봉로26길,가야써니빌,6,59.96,2002,31800
2019-10-26,망우동,용마산로115길,문수해오름,2,83.61,2002,31800
2019-10-27,망우동,양원역로,경남,5,52.71,1989,26900
2019-10-29,망우동,용마산로112가길,예성그린캐슬,18,84.83,2004,43800
2019-10-03,신내동,신내역로,신내 데시앙포레,21,84.65,2013,61500
2019-10-03,신내동,신내역로,신내 데시앙포레,6,84.65,2013,59000
2019-10-07,신내동,봉화산로56길,중앙하이츠,5,84.97,1996,43000
2019-10-07,신내동,봉화산로56길,중앙하이츠,1,84.97,1996,41000
2019-10-07,신내동,신내로,성원,4,84.32,1994,45000
2019-10-08,신내동,용마산로129가길,영풍마드레빌,1,84.8485,2004,49000
2019-10-09,신내동,신내역로1길,신내우디안1단지,12,101.65,2014,65800
2019-10-09,신내동,신내역로1길,신내우디안1단지,10,101.65,2014,66900
2019-10-09,신내동,신내역로1길,신내우디안1단지,14,59.99,2014,52800
2019-10-10,신내동,신내역로,신내 데시앙포레,14,84.94,2013,59500
2019-10-11,신내동,봉화산로56길,중앙하이츠,9,84.97,1996,44300
2019-10-11,신내동,봉화산로56길,경남아너스빌,4,84.98,2007,54500
2019-10-11,신내동,신내역로,신내 데시앙포레,13,114.54,2013,74000
2019-10-11,신내동,신내역로,신내 데시앙포레,12,84.91,2013,62500
2019-10-12,신내동,봉화산로56길,중앙하이츠,10,84.97,1996,46700
2019-10-12,신내동,신내역로1길,신내우디안1단지,5,84.79,2014,59000
2019-10-12,신내동,신내로,성원,2,84.91,1994,48000
2019-10-12,신내동,신내역로1길,신내우디안1단지,13,84.94,2014,61200
2019-10-12,신내동,용마산로129가길,영풍마드레빌,6,84.8485,2004,55500
2019-10-13,신내동,신내로,성원,7,84.32,1994,46800
2019-10-14,신내동,신내역로,신내 데시앙포레,5,84.94,2013,58900
2019-10-18,신내동,신내역로,신내 데시앙포레,1,59.72,2013,50000
2019-10-19,신내동,신내역로,신내 데시앙포레,7,84.94,2013,57900
2019-10-21,신내동,신내역로,신내 데시앙포레,1,84.94,2013,56000
2019-10-23,신내동,신내역로1길,신내우디안1단지,9,84.65,2014,60500
2019-10-24,신내동,신내역로1길,신내우디안1단지,22,84.94,2014,61500
2019-10-24,신내동,신내로,성원,12,84.32,1994,49800
2019-10-25,신내동,신내로,성원,9,84.32,1994,48800
2019-10-26,신내동,신내로,성원,13,84.91,1994,49600
2019-10-26,신내동,신내역로1길,신내우디안1단지,14,84.65,2014,63000
2019-10-27,신내동,신내역로,신내 데시앙포레,14,84.91,2013,61800
2019-10-29,신내동,신내로,성원,9,84.32,1994,50000
2019-10-31,신내동,용마산로129가길,영풍마드레빌,13,84.8485,2004,56200
2019-10-31,신내동,신내로,성원,21,84.32,1994,47800
2019-11-02,면목동,용마산로,현대,15,84.81,1994,54000
2019-11-04,면목동,중랑천로,신성,19,59.91,1998,36000
2019-11-09,면목동,봉우재로6길,솔루테아파트,1,82.811,2001,38000
2019-11-16,면목동,용마산로,현대,10,72.63,1994,51000
2019-11-18,면목동,용마산로,현대,13,84.81,1994,57700
2019-11-18,면목동,용마산로,현대,6,84.99,1994,55000
2019-11-22,면목동,봉우재로14길,동성네스트빌,6,83.29,2008,37500
2019-11-26,면목동,망우로26길,풍림,3,59.4,1997,32800
2019-11-02,상봉동,신내로7나길,건영2차아파트,21,84.96,1996,57500
2019-11-02,상봉동,신내로7나길,건영2차아파트,15,84.96,1996,59900
2019-11-03,상봉동,중랑천로10길,금강산아파트,4,59.98,1996,25000
2019-11-04,상봉동,상봉로,상봉 듀오트리스,18,131.8,2016,93000
2019-11-06,상봉동,신내로7나길,건영2차아파트,19,84.96,1996,57300
2019-11-08,상봉동,상봉중앙로1다길,우정아파트,18,57.189,2002,53000
2019-11-08,상봉동,상봉중앙로8길,건영캐스빌,5,84.6475,2006,69400
2019-11-09,상봉동,신내로7나길,건영2차아파트,20,84.96,1996,57000
2019-11-10,상봉동,신내로7나길,건영2차아파트,19,57.3,1996,41950
2019-11-11,상봉동,상봉중앙로8길,건영캐스빌,16,84.6475,2006,71000
2019-11-12,상봉동,신내로7나길,건영2차아파트,12,84.96,1996,59500
2019-11-13,상봉동,신내로7나길,건영2차아파트,25,84.96,1996,57000
2019-11-14,상봉동,상봉중앙로,해동 훼미리,3,84.72,2005,36000
2019-11-15,상봉동,상봉로,백운아파트,4,69.79,2004,35500
2019-11-16,상봉동,중랑천로12길,매원아파트,2,74.65,2003,34000
2019-11-20,상봉동,신내로7가길,동부아파트,4,54,1999,39000
2019-11-30,상봉동,신내로7나길,건영2차아파트,19,84.96,1996,59000
2019-11-02,중화동,동일로129길,태능에셈빌,9,81.574,2005,41700
2019-11-13,중화동,망우로,동양엔파트,18,84.98,2010,59500
2019-11-18,중화동,동일로129길,태능에셈빌,10,84.843,2005,46300
2019-11-27,중화동,동일로136길,청광플러스원,5,84.96,2007,54000
2019-11-01,묵동,숙선옹주로,이편한세상 화랑대,15,84.956,2017,80000
2019-11-03,묵동,숙선옹주로,이편한세상 화랑대,14,84.916,2017,77700
2019-11-11,묵동,숙선옹주로,이편한세상 화랑대,17,84.902,2017,79500
2019-11-13,묵동,중랑역로,헤르만스테이트,12,30,2013,19000
2019-11-13,묵동,숙선옹주로,이편한세상 화랑대,15,84.834,2017,80000
2019-11-13,묵동,숙선옹주로,이편한세상 화랑대,4,59.953,2017,70000
2019-11-14,묵동,숙선옹주로,이편한세상 화랑대,11,75.712,2017,73000
2019-11-15,묵동,중랑역로,우성,5,64.38,1975,21800
2019-11-16,묵동,숙선옹주로,이편한세상 화랑대,2,96.399,2017,85000
2019-11-19,묵동,공릉로4길,문수해오름,7,84.62,2004,48000
2019-11-22,묵동,중랑역로,우성,5,47.89,1975,20950
2019-11-23,묵동,중랑천로,월드메르디앙,4,83.51,2009,55800
2019-11-27,묵동,숙선옹주로,이편한세상 화랑대,12,84.916,2017,78800
2019-11-28,묵동,동일로,위더스빌,17,84.83,2010,53900
2019-11-28,묵동,숙선옹주로,이편한세상 화랑대,6,84.902,2017,78000
2019-11-30,묵동,숙선옹주로,이편한세상 화랑대,9,84.834,2017,82000
2019-11-04,망우동,망우로58길,더하이어,9,12.0156,2013,10300
2019-11-06,망우동,용마산로112가길,예성그린캐슬,15,58.9,2004,35200
2019-11-28,망우동,망우로58길,예원캐슬,12,38.56,2012,22000
2019-11-01,신내동,봉화산로56길,중앙하이츠,4,84.97,1996,44800
2019-11-04,신내동,신내역로1길,신내우디안1단지,16,84.65,2014,63000
2019-11-05,신내동,봉화산로56길,중앙하이츠,13,84.97,1996,47000
2019-11-06,신내동,봉화산로56길,중앙하이츠,9,84.97,1996,43000
